Metric,Trinity_value,Trinity_norm-score,Oases_value,Oases_norm-score,Trans-ABySS_value,Trans-ABySS_norm-score,SOAP-Trans_value,SOAP-Trans_norm-score,Bridger_value,Bridger_norm-score,BinPacker_value,BinPacker_norm-score,IDBA-Tran_value,IDBA-Tran_norm-score,Shannon_value,Shannon_norm-score,SPAdes-sc_value,SPAdes-sc_norm-score,SPAdes-rna_value,SPAdes-rna_norm-score
Overall mapping rate , 95.71,0.96 , 91.93,0.88 , 97.55,1.0 , 85.31,0.73 , 90.64,0.85 , 67.15,0.34 , 89.04,0.82 , 51.53,0.0 , 94.29,0.93 , 93.67,0.92 
Transcripts >1000nt , 13357,0.33 , 32647,1.0 , 19714,0.55 , 8709,0.17 , 12882,0.32 , 3775,0.0 , 9577,0.2 , 12018,0.29 , 11171,0.26 , 11160,0.26 
Misassemblies , 1212,0.84 , 6804,0.06 , 7227,0.0 , 51,1.0 , 1995,0.73 , 1233,0.84 , 201,0.98 , 769,0.9 , 1189,0.84 , 505,0.94 
Mismatches per transcript , 1.32,0.79 , 3.47,0.42 , 0.61,0.91 , 0.1,1.0 , 2.43,0.6 , 5.9,0.0 , 0.14,0.99 , 0.72,0.89 , 0.43,0.94 , 0.34,0.96 
Average alignment length , 978.21,0.55 , 1232.69,0.89 , 745.09,0.24 , 561.75,0.0 , 990.35,0.57 , 1312.17,1.0 , 848.36,0.38 , 1044.9,0.64 , 944.39,0.51 , 807.42,0.33 
95%-assembled isoforms , 2302,0.8 , 2753,1.0 , 1960,0.65 , 1213,0.32 , 1909,0.63 , 489,0.0 , 1175,0.3 , 2004,0.67 , 2318,0.81 , 2237,0.77 
Duplication ratio , 1.128,0.88 , 1.976,0.0 , 1.341,0.66 , 1.008,1.0 , 1.067,0.94 , 1.149,0.85 , 1.01,1.0 , 1.185,0.82 , 1.007,1.0 , 1.027,0.98 
Ex90N50 , 1451,0.83 , 1305,0.71 , 940,0.41 , 449,0.0 , 1636,0.99 , 1452,0.83 , 805,0.3 , 1654,1.0 , 1030,0.48 , 1239,0.66 
\# full-length transcripts , 7219,0.81 , 8361,1.0 , 8133,0.96 , 5411,0.52 , 7163,0.8 , 2227,0.0 , 6087,0.63 , 6541,0.7 , 7800,0.91 , 7501,0.86 
Reference coverage , 0.16,0.69 , 0.19,0.9 , 0.21,1.0 , 0.15,0.65 , 0.13,0.57 , 0.03,0.0 , 0.15,0.64 , 0.15,0.65 , 0.15,0.67 , 0.15,0.69 
Mean ORF percentage , 74.79,0.57 , 72.07,0.38 , 72.5,0.41 , 80.78,1.0 , 74.66,0.56 , 66.84,0.0 , 80.71,0.99 , 76.08,0.66 , 74.47,0.55 , 75.67,0.63 
Optimal score , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA  , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA 
Percentage bases uncovered , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA  , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA 
Number of ambiguous bases , 35964,0.61 , 78762,0.0 , 53180,0.37 , 28632,0.72 , 33008,0.66 , 9081,1.0 , 27666,0.73 , 30178,0.7 , 29569,0.71 , 30621,0.69 
Nucleotide F1 , 0.71,0.85 , 0.42,0.31 , 0.59,0.62 , 0.77,0.95 , 0.72,0.86 , 0.26,0.0 , 0.76,0.95 , 0.63,0.7 , 0.79,1.0 , 0.79,0.99 
Contig F1 , 0.05,0.73 , 0.03,0.43 , 0.04,0.59 , 0.04,0.59 , 0.04,0.58 , 0,0.0 , 0.03,0.44 , 0.04,0.57 , 0.06,0.87 , 0.07,1.0 
KC score , 0.71,0.9 , 0.66,0.77 , 0.74,1.0 , 0.62,0.66 , 0.66,0.79 , 0.48,0.29 , 0.66,0.77 , 0.37,0.0 , 0.71,0.92 , 0.72,0.94 
RSEM EVAL , -0.46,0.99 , -0.6,0.83 , -0.45,1.0 , -0.73,0.69 , -0.54,0.9 , -0.96,0.43 , -0.67,0.75 , -1.34,0.0 , -0.59,0.84 , -0.57,0.87 
Complete BUSCOs , 1117,1.0 , 1108,0.99 , 1119,1.0 , 1058,0.93 , 1103,0.98 , 262,0.0 , 930,0.78 , 1049,0.92 , 1074,0.95 , 1012,0.88 
Missing BUSCOs , 219,1.0 , 248,0.97 , 224,0.99 , 248,0.97 , 229,0.99 , 1162,0.0 , 269,0.95 , 296,0.92 , 225,0.99 , 264,0.95 
