Metric,Trinity_value,Trinity_norm-score,Oases_value,Oases_norm-score,Trans-ABySS_value,Trans-ABySS_norm-score,SOAP-Trans_value,SOAP-Trans_norm-score,Bridger_value,Bridger_norm-score,BinPacker_value,BinPacker_norm-score,IDBA-Tran_value,IDBA-Tran_norm-score,Shannon_value,Shannon_norm-score,SPAdes-sc_value,SPAdes-sc_norm-score,SPAdes-rna_value,SPAdes-rna_norm-score
Overall mapping rate , 97.32,0.91 , 93.61,0.6 , 98.45,1.0 , 95.12,0.73 , 96.72,0.86 , 96.66,0.85 , 86.34,0.0 , 96.51,0.84 , 97.51,0.92 , 97.43,0.92 
Transcripts >1000nt , 3417,0.09 , 9813,1.0 , 7979,0.74 , 2769,0.0 , 4038,0.18 , 4267,0.21 , 2949,0.03 , 4077,0.19 , 3504,0.1 , 3939,0.17 
Misassemblies , 72,0.89 , 613,0.0 , 449,0.27 , 9,1.0 , 236,0.62 , 259,0.59 , 8,1.0 , 362,0.41 , 60,0.91 , 82,0.88 
Mismatches per transcript , 1.82,0.27 , 2.12,0.09 , 1.29,0.58 , 0.57,1.0 , 2,0.17 , 2.28,0.0 , 0.81,0.86 , 1,0.75 , 1.8,0.28 , 1.96,0.19 
Average alignment length , 969.33,0.56 , 941.6,0.53 , 773.58,0.29 , 567.17,0.0 , 1131.33,0.79 , 1189.55,0.87 , 922.1,0.5 , 678.95,0.16 , 1279.41,1.0 , 1171.71,0.85 
95%-assembled isoforms , 4146,0.46 , 4808,0.79 , 5214,1.0 , 3290,0.03 , 4005,0.39 , 4033,0.4 , 3238,0.0 , 3736,0.25 , 4437,0.61 , 4533,0.66 
Duplication ratio , 1.039,0.97 , 2.25,0.0 , 1.916,0.27 , 1.007,1.0 , 1.105,0.92 , 1.136,0.89 , 1.003,1.0 , 1.412,0.67 , 1.001,1.0 , 1.059,0.95 
Ex90N50 , 1862,0.73 , 1588,0.4 , 1664,0.49 , 1374,0.14 , 1923,0.8 , 1876,0.74 , 1257,0.0 , 1321,0.08 , 2090,1.0 , 2034,0.93 
\# full-length transcripts , 1732,0.76 , 1836,0.91 , 1895,1.0 , 1274,0.08 , 1698,0.71 , 1701,0.71 , 1223,0.0 , 1480,0.38 , 1847,0.93 , 1837,0.91 
Reference coverage , 0.18,0.06 , 0.24,0.31 , 0.38,1.0 , 0.2,0.13 , 0.17,0.0 , 0.17,0.0 , 0.2,0.12 , 0.3,0.62 , 0.17,0.02 , 0.2,0.13 
Mean ORF percentage , 81.69,0.51 , 79.54,0.33 , 81.47,0.49 , 84.15,0.71 , 79.4,0.32 , 78.65,0.26 , 83.37,0.65 , 87.69,1.0 , 77.02,0.13 , 75.46,0.0 
Optimal score , 0.46,0.83 , 0.06,0.05 , 0.03,0.0 , 0.48,0.88 , 0.36,0.65 , 0.37,0.66 , 0.41,0.75 , 0.05,0.04 , 0.54,1.0 , 0.41,0.73 
Percentage bases uncovered , 0.13,0.85 , 0.87,0.0 , 0.82,0.05 , 0.02,0.98 , 0.31,0.64 , 0.36,0.59 , 0,1.0 , 0.48,0.44 , 0,1.0 , 0.16,0.82 
Number of ambiguous bases , 9391,0.96 , 26010,0.0 , 22581,0.2 , 8947,0.98 , 10651,0.88 , 11072,0.86 , 8652,1.0 , 12793,0.76 , 9173,0.97 , 10567,0.89 
Nucleotide F1 , 0.73,0.92 , 0.51,0.0 , 0.59,0.37 , 0.73,0.94 , 0.74,0.99 , 0.73,0.92 , 0.73,0.93 , 0.64,0.54 , 0.74,1.0 , 0.74,0.97 
Contig F1 , 0.08,0.81 , 0.08,0.78 , 0.08,1.0 , 0.06,0.44 , 0.06,0.49 , 0.07,0.5 , 0.05,0.0 , 0.07,0.6 , 0.06,0.42 , 0.06,0.25 
KC score , 0.68,0.7 , 0.62,0.36 , 0.73,1.0 , 0.6,0.28 , 0.68,0.71 , 0.68,0.71 , 0.55,0.0 , 0.72,0.92 , 0.71,0.85 , 0.69,0.77 
RSEM EVAL , -0.33,1.0 , -0.42,0.68 , -0.34,0.96 , -0.45,0.57 , -0.35,0.93 , -0.36,0.89 , -0.61,0.0 , -0.36,0.89 , -0.37,0.86 , -0.35,0.93 
Complete BUSCOs , 1355,0.65 , 1382,0.71 , 1461,0.87 , 1042,0.0 , 1416,0.78 , 1416,0.78 , 1070,0.06 , 1088,0.1 , 1523,1.0 , 1499,0.95 
Missing BUSCOs , 164,0.7 , 140,0.79 , 109,0.9 , 248,0.4 , 133,0.81 , 135,0.81 , 240,0.43 , 359,0.0 , 81,1.0 , 88,0.97 
