Metric,Trinity_value,Trinity_norm-score,Oases_value,Oases_norm-score,Trans-ABySS_value,Trans-ABySS_norm-score,SOAP-Trans_value,SOAP-Trans_norm-score,Bridger_value,Bridger_norm-score,BinPacker_value,BinPacker_norm-score,IDBA-Tran_value,IDBA-Tran_norm-score,Shannon_value,Shannon_norm-score,SPAdes-sc_value,SPAdes-sc_norm-score,SPAdes-rna_value,SPAdes-rna_norm-score
Overall mapping rate , 91.9,0.81 , 88.04,0.69 , 98.34,1.0 , 89.93,0.75 , 86.83,0.66 , 72.6,0.24 , 64.61,0.0 , 84.27,0.58 , 92.04,0.81 , 95.95,0.93 
Transcripts >1000nt , 64061,0.22 , 207474,1.0 , 59779,0.2 , 27529,0.03 , 43201,0.11 , 22611,0.0 , 23516,0.0 , 31328,0.05 , 31039,0.05 , 49860,0.15 
Misassemblies , 3378,0.99 , 216127,0.0 , 2743,0.99 , 279,1.0 , 7329,0.97 , 5603,0.98 , 302,1.0 , 2837,0.99 , 2022,0.99 , 5126,0.98 
Mismatches per transcript , 1.38,0.74 , 1.25,0.77 , 0.57,0.93 , 0.27,1.0 , 1.44,0.73 , 4.63,0.0 , 0.67,0.91 , 1.26,0.77 , 0.8,0.88 , 1.25,0.78 
Average alignment length , 795.23,0.27 , 343.48,0.06 , 246.85,0.01 , 218,0.0 , 654.41,0.21 , 2335.73,1.0 , 487.11,0.13 , 711.83,0.23 , 410.22,0.09 , 412.24,0.09 
95%-assembled isoforms , 6788,0.99 , 868,0.1 , 6824,1.0 , 2264,0.31 , 2105,0.28 , 2824,0.39 , 709,0.07 , 242,0.0 , 1755,0.23 , 3253,0.46 
Duplication ratio , 2.396,0.0 , 2.355,0.03 , 1.743,0.47 , 1.187,0.87 , 1.708,0.5 , 2.389,0.01 , 1.012,1.0 , 1.53,0.63 , 1.015,1.0 , 1.192,0.87 
Ex90N50 , 326,0.0 , 666,0.17 , 441,0.06 , 711,0.19 , 1370,0.51 , 2381,1.0 , 708,0.19 , 1324,0.49 , 1186,0.42 , 782,0.22 
\# full-length transcripts , 8930,0.97 , 8024,0.83 , 9110,1.0 , 6806,0.64 , 8440,0.89 , 4456,0.26 , 2783,0.0 , 6758,0.63 , 5676,0.46 , 7155,0.69 
Reference coverage , 0.23,0.87 , 0.09,0.33 , 0.26,1.0 , 0.09,0.34 , 0.09,0.31 , 0.07,0.27 , 0.08,0.31 , 0,0.0 , 0.08,0.3 , 0.11,0.42 
Mean ORF percentage , 50.82,0.64 , 42.09,0.0 , 51.92,0.72 , 48.02,0.44 , 45.1,0.22 , 42.57,0.04 , 52.46,0.76 , 55.7,1.0 , 46.13,0.3 , 46.25,0.31 
Optimal score , 0.13,0.3 , 0.02,0.0 , 0.11,0.23 , 0.27,0.66 , 0.14,0.32 , 0.07,0.14 , 0.25,0.61 , 0.07,0.13 , 0.4,1.0 , 0.23,0.57 
Percentage bases uncovered , 0.59,0.38 , 0.94,0.0 , 0.63,0.33 , 0.33,0.67 , 0.42,0.57 , 0.84,0.11 , 0.02,1.0 , 0.5,0.48 , 0.03,0.99 , 0.21,0.79 
Number of ambiguous bases , 286479,0.72 , 843235,0.0 , 437845,0.53 , 241236,0.78 , 206635,0.83 , 72918,1.0 , 138699,0.91 , 117068,0.94 , 177477,0.86 , 294083,0.71 
Nucleotide F1 , 0.43,0.59 , 0.18,0.08 , 0.51,0.77 , 0.57,0.89 , 0.48,0.71 , 0.15,0.0 , 0.55,0.86 , 0.35,0.42 , 0.61,0.97 , 0.62,1.0 
Contig F1 , 0.02,0.08 , 0.02,0.09 , 0.2,0.99 , 0.21,1.0 , 0.01,0.05 , 0,0.0 , 0.02,0.08 , 0.02,0.11 , 0.01,0.07 , 0.01,0.06 
KC score , 0.51,0.87 , 0.24,0.0 , 0.55,1.0 , 0.37,0.42 , 0.4,0.51 , 0.37,0.4 , 0.29,0.14 , 0.42,0.58 , 0.39,0.47 , 0.43,0.6 
RSEM EVAL , -6.51,0.98 , -11.82,0.45 , -6.26,1.0 , -9.03,0.72 , -7.72,0.85 , -10.03,0.62 , -16.3,0.0 , -8.96,0.73 , -12.12,0.42 , -7.16,0.91 
Complete BUSCOs , 4004,0.96 , 3588,0.79 , 4106,1.0 , 2625,0.39 , 3909,0.92 , 2009,0.13 , 1682,0.0 , 3385,0.7 , 2625,0.39 , 3089,0.58 
Missing BUSCOs , 1804,0.99 , 1922,0.93 , 1770,1.0 , 2164,0.83 , 1812,0.98 , 4078,0.0 , 2615,0.63 , 2133,0.84 , 2268,0.78 , 1949,0.92 
