Metric,Trinity_value,Trinity_norm-score,Oases_value,Oases_norm-score,Trans-ABySS_value,Trans-ABySS_norm-score,SOAP-Trans_value,SOAP-Trans_norm-score,Bridger_value,Bridger_norm-score,BinPacker_value,BinPacker_norm-score,IDBA-Tran_value,IDBA-Tran_norm-score,Shannon_value,Shannon_norm-score,SPAdes-sc_value,SPAdes-sc_norm-score,SPAdes-rna_value,SPAdes-rna_norm-score
Overall mapping rate , 96.39,0.95 , 73.26,0.62 , 99.56,1.0 , 91.68,0.89 , 94.02,0.92 , 93.03,0.91 , 85.34,0.79 , 30.77,0.0 , 97.02,0.96 , 96.72,0.96 
Transcripts >1000nt , 8451,0.24 , 28143,1.0 , 6703,0.17 , 4263,0.07 , 5167,0.11 , 7424,0.2 , 2740,0.02 , 2341,0.0 , 2623,0.01 , 6053,0.14 
Misassemblies , 139,0.97 , 4094,0.0 , 117,0.97 , 49,0.99 , 533,0.87 , 785,0.81 , 8,1.0 , 66,0.99 , 50,0.99 , 351,0.92 
Mismatches per transcript , 1.23,0.44 , 2.11,0.0 , 0.46,0.82 , 0.31,0.89 , 1.65,0.23 , 1.85,0.13 , 0.1,1.0 , 0.39,0.85 , 0.22,0.94 , 1.82,0.14 
Average alignment length , 2261.33,1.0 , 2090.55,0.88 , 939.31,0.06 , 1009.08,0.11 , 1581.3,0.51 , 1755.16,0.64 , 859.97,0.0 , 1061.01,0.14 , 979.98,0.09 , 1649.15,0.56 
95%-assembled isoforms , 2898,0.96 , 2995,1.0 , 2877,0.95 , 1679,0.46 , 1570,0.41 , 1660,0.45 , 577,0.0 , 1056,0.2 , 1625,0.43 , 2220,0.68 
Duplication ratio , 2.154,0.7 , 4.854,0.0 , 1.572,0.85 , 1.274,0.93 , 1.507,0.87 , 1.949,0.76 , 1.013,1.0 , 1.437,0.89 , 1.012,1.0 , 1.535,0.86 
Ex90N50 , 3234,0.96 , 3300,0.99 , 2902,0.78 , 2836,0.75 , 3252,0.97 , 2909,0.79 , 1397,0.0 , 2368,0.51 , 3315,1.0 , 2549,0.6 
\# full-length transcripts , 1492,0.85 , 1672,1.0 , 1323,0.71 , 1006,0.45 , 1210,0.62 , 1246,0.65 , 450,0.0 , 666,0.18 , 1007,0.46 , 1141,0.57 
Reference coverage , 0.24,0.34 , 0.38,0.74 , 0.46,1.0 , 0.18,0.16 , 0.19,0.17 , 0.2,0.22 , 0.18,0.14 , 0.13,0.0 , 0.16,0.09 , 0.25,0.35 
Mean ORF percentage , 43.38,0.63 , 37.43,0.1 , 45.49,0.81 , 36.28,0.0 , 42.22,0.52 , 43.57,0.64 , 47.62,1.0 , 47.37,0.98 , 39.62,0.29 , 40.38,0.36 
Optimal score , 0.11,0.22 , 0.01,0.0 , 0.22,0.47 , 0.21,0.43 , 0.14,0.29 , 0.13,0.26 , 0.35,0.74 , 0.06,0.1 , 0.47,1.0 , 0.19,0.4 
Percentage bases uncovered , 0.5,0.4 , 0.83,0.0 , 0.32,0.63 , 0.17,0.81 , 0.22,0.74 , 0.43,0.49 , 0.01,1.0 , 0.17,0.8 , 0.01,1.0 , 0.25,0.71 
Number of ambiguous bases , 30990,0.77 , 110723,0.0 , 24282,0.84 , 15259,0.93 , 18025,0.9 , 25851,0.82 , 10489,0.97 , 7801,1.0 , 10674,0.97 , 20302,0.88 
Nucleotide F1 , 0.57,0.61 , 0.22,0.0 , 0.68,0.81 , 0.73,0.9 , 0.71,0.86 , 0.6,0.67 , 0.78,0.99 , 0.45,0.41 , 0.79,1.0 , 0.7,0.83 
Contig F1 , 0.06,0.31 , 0.05,0.03 , 0.1,1.0 , 0.08,0.54 , 0.05,0.01 , 0.05,0.0 , 0.05,0.06 , 0.07,0.43 , 0.05,0.1 , 0.05,0.13 
KC score , 0.88,0.94 , 0.74,0.72 , 0.92,1.0 , 0.6,0.5 , 0.82,0.84 , 0.82,0.85 , 0.6,0.51 , 0.26,0.0 , 0.77,0.77 , 0.79,0.79 
RSEM EVAL , -2.79,0.96 , -4.62,0.75 , -2.38,1.0 , -5.27,0.68 , -3.66,0.86 , -3.65,0.86 , -7.53,0.44 , -11.51,0.0 , -4.78,0.74 , -3.91,0.83 
Complete BUSCOs , 588,0.94 , 613,1.0 , 537,0.8 , 289,0.16 , 525,0.77 , 527,0.78 , 226,0.0 , 242,0.04 , 407,0.47 , 462,0.61 
Missing BUSCOs , 26,0.99 , 22,1.0 , 21,1.0 , 109,0.74 , 28,0.98 , 29,0.98 , 142,0.65 , 364,0.0 , 55,0.9 , 26,0.99 
