Metric,Trinity_value,Trinity_norm-score,Oases_value,Oases_norm-score,Trans-ABySS_value,Trans-ABySS_norm-score,SOAP-Trans_value,SOAP-Trans_norm-score,Bridger_value,Bridger_norm-score,BinPacker_value,BinPacker_norm-score,IDBA-Tran_value,IDBA-Tran_norm-score,Shannon_value,Shannon_norm-score,SPAdes-sc_value,SPAdes-sc_norm-score,SPAdes-rna_value,SPAdes-rna_norm-score
Overall mapping rate , 92.14,0.89 , 89.29,0.82 , 93.96,0.93 , 90.98,0.86 , 91.66,0.88 , 54.31,0.0 , 70.64,0.38 , 86.6,0.76 , 93.83,0.93 , 96.86,1.0 
Transcripts >1000nt , 21804,0.4 , 51832,1.0 , 29719,0.56 , 12603,0.21 , 18266,0.33 , 2037,0.0 , 12294,0.21 , 16915,0.3 , 13099,0.22 , 19367,0.35 
Misassemblies , 564,0.99 , 52668,0.0 , 612,0.99 , 61,1.0 , 2643,0.95 , 628,0.99 , 41,1.0 , 1927,0.96 , 570,0.99 , 1080,0.98 
Mismatches per transcript , 0.84,0.85 , 0.63,0.9 , 0.32,0.97 , 0.16,1.0 , 0.91,0.83 , 4.61,0.0 , 0.19,0.99 , 0.8,0.86 , 0.71,0.88 , 0.8,0.86 
Average alignment length , 1216.86,0.52 , 406.08,0.0 , 752.81,0.22 , 519.96,0.07 , 1073.4,0.43 , 1972.81,1.0 , 811.99,0.26 , 877.71,0.3 , 1089.26,0.44 , 910.47,0.32 
95%-assembled isoforms , 6032,0.96 , 183,0.02 , 6281,1.0 , 2244,0.35 , 2236,0.35 , 554,0.08 , 967,0.14 , 71,0.0 , 2633,0.41 , 3269,0.51 
Duplication ratio , 1.547,0.39 , 1.9,0.0 , 1.75,0.17 , 1.031,0.97 , 1.348,0.62 , 1.346,0.62 , 1.005,1.0 , 1.23,0.75 , 1.003,1.0 , 1.135,0.85 
Ex90N50 , 420,0.0 , 2044,0.48 , 530,0.03 , 2796,0.7 , 3100,0.79 , 2715,0.68 , 1672,0.37 , 2067,0.49 , 3814,1.0 , 3418,0.88 
\# full-length transcripts , 8210,0.97 , 6293,0.71 , 8401,1.0 , 7375,0.86 , 7639,0.9 , 1014,0.0 , 4208,0.43 , 5248,0.57 , 7736,0.91 , 7859,0.93 
Reference coverage , 0.22,0.88 , 0.02,0.09 , 0.25,1.0 , 0.1,0.38 , 0.1,0.4 , 0.02,0.06 , 0.09,0.37 , 0,0.0 , 0.08,0.34 , 0.11,0.43 
Mean ORF percentage , 52.21,0.82 , 45.36,0.4 , 53.79,0.92 , 51.45,0.78 , 49.56,0.66 , 38.86,0.0 , 54.28,0.95 , 55.04,1.0 , 44.85,0.37 , 43.58,0.29 
Optimal score , 0.22,0.53 , 0.02,0.0 , 0.12,0.25 , 0.4,1.0 , 0.18,0.42 , 0.13,0.29 , 0.29,0.72 , 0.18,0.43 , 0.38,0.94 , 0.18,0.41 
Percentage bases uncovered , 0.52,0.43 , 0.91,0.0 , 0.63,0.31 , 0.12,0.88 , 0.41,0.55 , 0.6,0.34 , 0.02,1.0 , 0.43,0.54 , 0.01,1.0 , 0.33,0.64 
Number of ambiguous bases , 78726,0.6 , 188947,0.0 , 105153,0.46 , 53611,0.74 , 66954,0.67 , 6514,1.0 , 45526,0.79 , 52948,0.75 , 51575,0.75 , 73461,0.63 
Nucleotide F1 , 0.42,0.78 , 0.19,0.26 , 0.4,0.73 , 0.51,0.97 , 0.45,0.84 , 0.07,0.0 , 0.5,0.94 , 0.38,0.69 , 0.52,1.0 , 0.5,0.95 
Contig F1 , 0.01,0.37 , 0,0.07 , 0.02,1.0 , 0.02,0.95 , 0.01,0.27 , 0,0.0 , 0.01,0.44 , 0.01,0.3 , 0.01,0.21 , 0.01,0.58 
KC score , 0.66,0.88 , 0.47,0.42 , 0.67,0.9 , 0.55,0.62 , 0.6,0.74 , 0.28,0.0 , 0.53,0.57 , 0.56,0.64 , 0.69,0.94 , 0.71,1.0 
RSEM EVAL , -2.23,0.97 , -3.34,0.59 , -2.15,1.0 , -2.64,0.83 , -2.38,0.92 , -4.89,0.05 , -5.03,0.0 , -2.94,0.73 , -3.01,0.7 , -2.45,0.9 
Complete BUSCOs , 3895,0.97 , 3066,0.75 , 3992,1.0 , 3616,0.9 , 3914,0.98 , 310,0.0 , 2679,0.64 , 2829,0.68 , 3823,0.95 , 3773,0.94 
Missing BUSCOs , 1959,0.98 , 2476,0.85 , 1926,0.99 , 1987,0.97 , 1926,0.99 , 5871,0.0 , 2188,0.92 , 2534,0.84 , 1877,1.0 , 1880,1.0 
