,eco,cal3,ath,mmu,hsa,ebov_hsa_3h,ebov_hsa_7h,ebov_hsa_23h,hsa_flux
Trinity,13.61,13.632898615766134,14.15,14.208801847380371,12.375418139486312,14.17277346224235,13.535029240475668,13.426131686643954,14.16478306868254
Oases,10.36,8.328610233118914,11.53,7.358362417979177,6.306607537401044,10.448589162184202,8.502574308248033,7.683182485709652,9.832858290747744
Trans_ABySS,11.53,12.486311653402387,12.36,14.428516900539092,14.235424826624271,14.350490693888998,14.111347216363944,13.86504881291158,15.679630129660445
SOAPdenovo_Trans,12.59,10.277494619547054,11.9,15.050269126372175,11.919637457812506,14.630261239730944,13.243121757381179,14.52701643419216,11.402877631847863
Bridger,13.55,12.63880506778085,13.31,13.500670279221815,11.127895494609506,13.640459344823674,11.809836092740438,12.72207714621,12.46552597996417
BinPacker,5.55,12.242634940155307,5.57,5.102400264809293,6.586953393765303,4.808469631070153,9.170603030804942,7.552140198156178,11.884956117605348
IDBA_Tran,11.49,8.30792819802392,12.6,12.125532029560807,8.610606410068,12.254740489831123,8.177051642287504,9.218547672983643,10.305745853785808
Shannon,13.08,9.632471276452051,11.03,11.575588369725118,10.298670542947065,13.417981883427379,12.504646014899105,8.989211910294951,7.508679271526471
SPAdes_sc,13.37,14.996119325371765,14.18,14.983061236243836,11.474813145951357,15.081776704418322,12.696451439566799,12.94189045296406,13.219087620366828
SPAdes_rna,12.85,13.85958272868954,14.3,14.459907378803013,12.027748178557086,14.351180655661375,13.003694666152734,13.125721934458824,12.315721925589198
