METRICS/TRANSCRIPTS                                    Trinity                  Trans-ABySS              Oases                    SOAPdenovo-Trans         IDBA-Tran                Bridger                  BinPacker                Shannon                  rnaSPAdes                SPAdes                   
 == ASSEMBLY COMPLETENESS (SENSITIVITY) == 
Database coverage                                      0.298                    0.334                    0.321                    0.299                    0.289                    0.256                    0.047                    0.245                    0.3                      0.279                    
Duplication ratio                                      1.128                    1.341                    1.976                    1.008                    1.01                     1.067                    1.149                    1.185                    1.027                    1.007                    
Avg. number of transcripts mapped to one isoform       1.517                    2.142                    2.318                    1.963                    1.481                    1.372                    1.203                    1.499                    1.608                    1.406                    

50%-assembled genes                                    12459                    13755                    13955                    11457                    12672                    11301                    2589                     11168                    12931                    12496                    
95%-assembled genes                                    2196                     1881                     2599                     1213                     1175                     1861                     477                      1962                     2233                     2318                     
50%-covered genes                                      14388                    15660                    14680                    15357                    14963                    12519                    2609                     12207                    15136                    13998                    
95%-covered genes                                      2542                     2200                     2812                     1770                     1642                     2076                     488                      2103                     2607                     2570                     

50%-assembled isoforms                                 13304                    15283                    15861                    11470                    12694                    11814                    2706                     11606                    13051                    12509                    
95%-assembled isoforms                                 2302                     1960                     2753                     1213                     1175                     1909                     489                      2004                     2237                     2318                     
50%-covered isoforms                                   15266                    17334                    16686                    15395                    15017                    13047                    2729                     12658                    15283                    14031                    
95%-covered isoforms                                   2651                     2298                     2981                     1770                     1642                     2127                     500                      2147                     2613                     2570                     

50%-assembled exons                                    91985                    99841                    96063                    94715                    94428                    81178                    15632                    77697                    95185                    89800                    
95%-assembled exons                                    66950                    71380                    71517                    65284                    68543                    59493                    11737                    57086                    69477                    66775                    

Mean isoform assembly                                  0.625                    0.582                    0.707                    0.489                    0.579                    0.623                    0.745                    0.657                    0.603                    0.632                    

Mean isoform coverage                                  0.684                    0.639                    0.734                    0.591                    0.654                    0.666                    0.751                    0.698                    0.672                    0.681                    
Mean exon coverage                                     0.893                    0.868                    0.904                    0.858                    0.89                     0.887                    0.911                    0.894                    0.889                    0.895                    

Avg. percentage of isoform 50%-covered exons           0.736                    0.686                    0.795                    0.63                     0.707                    0.715                    0.818                    0.755                    0.721                    0.733                    
Avg. percentage of isoform 95%-covered exons           0.42                     0.377                    0.477                    0.329                    0.384                    0.407                    0.489                    0.427                    0.404                    0.419                    

