METRICS/TRANSCRIPTS                                    Trinity                  Trans-ABySS              Oases                    SOAPdenovo-Trans         IDBA-Tran                Bridger                  BinPacker                Shannon                  rnaSPAdes                SPAdes                   
 == ASSEMBLY COMPLETENESS (SENSITIVITY) == 
Database coverage                                      0.511                    0.653                    0.604                    0.564                    0.527                    0.476                    0.47                     0.541                    0.508                    0.485                    
Duplication ratio                                      1.039                    1.916                    2.25                     1.007                    1.003                    1.105                    1.136                    1.412                    1.059                    1.001                    
Avg. number of transcripts mapped to one isoform       1.526                    3.438                    3.291                    2.147                    1.486                    1.396                    1.386                    2.51                     1.385                    1.226                    

50%-assembled genes                                    5302                     6734                     6425                     5362                     5380                     5136                     5162                     5475                     5413                     5266                     
95%-assembled genes                                    4146                     5214                     4808                     3290                     3238                     4005                     4033                     3736                     4533                     4437                     
50%-covered genes                                      6011                     7833                     7237                     6742                     6229                     5581                     5556                     6884                     5819                     5529                     
95%-covered genes                                      4585                     5884                     5450                     4522                     4003                     4322                     4343                     4562                     4783                     4542                     

50%-assembled isoforms                                 5302                     6734                     6425                     5362                     5380                     5136                     5162                     5475                     5413                     5266                     
95%-assembled isoforms                                 4146                     5214                     4808                     3290                     3238                     4005                     4033                     3736                     4533                     4437                     
50%-covered isoforms                                   6011                     7833                     7237                     6742                     6229                     5581                     5556                     6884                     5819                     5529                     
95%-covered isoforms                                   4585                     5884                     5450                     4522                     4003                     4322                     4343                     4562                     4783                     4542                     

50%-assembled exons                                    5702                     7277                     6899                     5826                     5742                     5536                     5561                     5966                     5802                     5642                     
95%-assembled exons                                    4534                     5750                     5264                     3730                     3631                     4401                     4432                     4214                     4912                     4800                     

Mean isoform assembly                                  0.746                    0.748                    0.749                    0.629                    0.687                    0.76                     0.776                    0.66                     0.806                    0.822                    

Mean isoform coverage                                  0.817                    0.832                    0.819                    0.756                    0.771                    0.809                    0.82                     0.771                    0.849                    0.852                    
Mean exon coverage                                     0.826                    0.84                     0.827                    0.766                    0.781                    0.818                    0.829                    0.783                    0.857                    0.86                     

Avg. percentage of isoform 50%-covered exons           0.813                    0.841                    0.822                    0.758                    0.774                    0.801                    0.816                    0.774                    0.851                    0.853                    
Avg. percentage of isoform 95%-covered exons           0.624                    0.637                    0.623                    0.513                    0.507                    0.625                    0.643                    0.517                    0.702                    0.703                    

