METRICS/TRANSCRIPTS                                    Trinity                  Trans-ABySS              Oases                    SOAPdenovo-Trans         IDBA-Tran                Bridger                  BinPacker                Shannon                  rnaSPAdes                SPAdes                   
 == ASSEMBLY SPECIFICITY == 
Unannotated                                            31271                    88770                    37816                    61115                    22079                    27369                    86                       22475                    120552                   39000                    

50%-matched                                            53868                    112373                   131790                   58860                    45371                    42711                    1269                     71978                    58962                    35654                    
95%-matched                                            36225                    75135                    69556                    49648                    38273                    30697                    595                      56189                    42860                    27474                    

Mean fraction of transcript matched                    0.555                    0.49                     0.645                    0.441                    0.602                    0.529                    0.769                    0.698                    0.298                    0.41                     

Mean fraction of block matched                         0.9                      0.897                    0.744                    0.919                    0.934                    0.871                    0.792                    0.916                    0.861                    0.896                    

50%-matched blocks                                     0.902                    0.897                    0.746                    0.918                    0.934                    0.873                    0.796                    0.918                    0.86                     0.897                    
95%-matched blocks                                     0.863                    0.863                    0.722                    0.883                    0.9                      0.837                    0.763                    0.891                    0.809                    0.861                    

Matched length                                         81560554                 86945170                 212486040                44556398                 40525296                 57039936                 3683325                  79045344                 52649608                 38890445                 
Unmatched length                                       22483031                 31103940                 56575335                 18078864                 13761951                 19121282                 1407637                  16515061                 39153267                 19068858                 

