METRICS/TRANSCRIPTS                                    Trinity                  Trans-ABySS              Oases                    SOAPdenovo-Trans         IDBA-Tran                Bridger                  BinPacker                Shannon                  rnaSPAdes                SPAdes                   
 == ASSEMBLY COMPLETENESS (SENSITIVITY) == 
Database coverage                                      0.178                    0.21                     0.201                    0.158                    0.15                     0.141                    0.102                    0.167                    0.173                    0.143                    
Duplication ratio                                      1.757                    1.663                    4.347                    1.06                     1.007                    1.451                    1.884                    1.954                    1.161                    1.013                    
Avg. number of transcripts mapped to one isoform       1.992                    2.588                    4.474                    1.78                     1.641                    1.718                    1.935                    2.769                    1.731                    1.625                    

50%-assembled genes                                    9849                     10377                    10258                    9406                     8675                     8480                     6728                     8889                     10186                    9154                     
95%-assembled genes                                    3972                     3694                     4128                     3116                     776                      2722                     2585                     2562                     3628                     2790                     
50%-covered genes                                      11338                    12053                    11355                    11234                    11103                    9903                     7054                     10747                    12078                    10454                    
95%-covered genes                                      4999                     5157                     5252                     3965                     2003                     3286                     2879                     3761                     4691                     3454                     

50%-assembled isoforms                                 14332                    17634                    17801                    11166                    10800                    10559                    8400                     12957                    12795                    10453                    
95%-assembled isoforms                                 4696                     4004                     5115                     3225                     780                      2965                     2851                     2964                     3850                     2795                     
50%-covered isoforms                                   16823                    22458                    20319                    14018                    14855                    12587                    8796                     16167                    15837                    12569                    
95%-covered isoforms                                   5889                     5768                     6549                     4106                     2012                     3556                     3164                     4354                     4981                     3461                     

50%-assembled exons                                    134622                   147352                   138218                   131285                   123293                   115102                   90688                    128802                   134753                   120339                   
95%-assembled exons                                    116598                   121589                   119276                   111117                   104242                   98872                    83268                    110447                   114586                   102782                   

Mean isoform assembly                                  0.461                    0.4                      0.491                    0.334                    0.38                     0.391                    0.654                    0.456                    0.36                     0.377                    

Mean isoform coverage                                  0.514                    0.464                    0.539                    0.385                    0.451                    0.435                    0.678                    0.529                    0.411                    0.422                    
Mean exon coverage                                     0.901                    0.858                    0.892                    0.849                    0.885                    0.874                    0.949                    0.897                    0.86                     0.872                    

Avg. percentage of isoform 50%-covered exons           0.502                    0.441                    0.535                    0.345                    0.395                    0.405                    0.723                    0.523                    0.372                    0.386                    
Avg. percentage of isoform 95%-covered exons           0.382                    0.313                    0.423                    0.231                    0.271                    0.289                    0.625                    0.396                    0.259                    0.266                    

 == GeneMarkS-T METRICS == 
Genes                                                  33592                    50018                    96132                    17801                    25350                    23585                    18234                    41533                    23967                    18444                    

