METRICS/TRANSCRIPTS                                    BinPacker                
 == ASSEMBLY COMPLETENESS (SENSITIVITY) == 
Database coverage                                      0.009                    
Duplication ratio                                      1.267                    
Avg. number of transcripts mapped to one isoform       1.277                    

50%-assembled genes                                    47                       
95%-assembled genes                                    34                       
50%-covered genes                                      47                       
95%-covered genes                                      36                       

50%-assembled isoforms                                 47                       
95%-assembled isoforms                                 34                       
50%-covered isoforms                                   47                       
95%-covered isoforms                                   36                       

50%-assembled exons                                    47                       
95%-assembled exons                                    34                       

Mean isoform assembly                                  0.719                    

Mean isoform coverage                                  0.728                    
Mean exon coverage                                     0.728                    

Avg. percentage of isoform 50%-covered exons           0.723                    
Avg. percentage of isoform 95%-covered exons           0.554                    

