METRICS/TRANSCRIPTS                                    BinPacker                
 == ASSEMBLY SPECIFICITY == 
Unannotated                                            53                       

50%-matched                                            32                       
95%-matched                                            2                        

Mean fraction of transcript matched                    0.272                    

Mean fraction of block matched                         0.384                    

50%-matched blocks                                     0.37                     
95%-matched blocks                                     0.13                     

Matched length                                         48781                    
Unmatched length                                       109362                   

