METRICS/TRANSCRIPTS                                    IDBA-Tran                
 == ASSEMBLY COMPLETENESS (SENSITIVITY) == 
Database coverage                                      0.183                    
Duplication ratio                                      1.001                    
Avg. number of transcripts mapped to one isoform       1.32                     

50%-assembled genes                                    550                      
95%-assembled genes                                    250                      
50%-covered genes                                      699                      
95%-covered genes                                      294                      

50%-assembled isoforms                                 550                      
95%-assembled isoforms                                 250                      
50%-covered isoforms                                   699                      
95%-covered isoforms                                   294                      

50%-assembled exons                                    556                      
95%-assembled exons                                    254                      

Mean isoform assembly                                  0.45                     

Mean isoform coverage                                  0.507                    
Mean exon coverage                                     0.509                    

Avg. percentage of isoform 50%-covered exons           0.442                    
Avg. percentage of isoform 95%-covered exons           0.187                    

