METRICS/TRANSCRIPTS                                    Oases                    
 == ASSEMBLY COMPLETENESS (SENSITIVITY) == 
Database coverage                                      0.334                    
Duplication ratio                                      1.443                    
Avg. number of transcripts mapped to one isoform       2.454                    

50%-assembled genes                                    916                      
95%-assembled genes                                    414                      
50%-covered genes                                      1408                     
95%-covered genes                                      595                      

50%-assembled isoforms                                 916                      
95%-assembled isoforms                                 414                      
50%-covered isoforms                                   1408                     
95%-covered isoforms                                   595                      

50%-assembled exons                                    930                      
95%-assembled exons                                    420                      

Mean isoform assembly                                  0.452                    

Mean isoform coverage                                  0.581                    
Mean exon coverage                                     0.583                    

Avg. percentage of isoform 50%-covered exons           0.564                    
Avg. percentage of isoform 95%-covered exons           0.239                    

