METRICS/TRANSCRIPTS                                    SOAPdenovo-Trans         
 == ASSEMBLY COMPLETENESS (SENSITIVITY) == 
Database coverage                                      0.225                    
Duplication ratio                                      1.002                    
Avg. number of transcripts mapped to one isoform       1.598                    

50%-assembled genes                                    587                      
95%-assembled genes                                    261                      
50%-covered genes                                      824                      
95%-covered genes                                      311                      

50%-assembled isoforms                                 587                      
95%-assembled isoforms                                 261                      
50%-covered isoforms                                   824                      
95%-covered isoforms                                   311                      

50%-assembled exons                                    594                      
95%-assembled exons                                    265                      

Mean isoform assembly                                  0.373                    

Mean isoform coverage                                  0.447                    
Mean exon coverage                                     0.449                    

Avg. percentage of isoform 50%-covered exons           0.368                    
Avg. percentage of isoform 95%-covered exons           0.139                    

