METRICS/TRANSCRIPTS                                    SPAdes                   
 == ASSEMBLY COMPLETENESS (SENSITIVITY) == 
Database coverage                                      0.16                     
Duplication ratio                                      1.006                    
Avg. number of transcripts mapped to one isoform       1.277                    

50%-assembled genes                                    503                      
95%-assembled genes                                    210                      
50%-covered genes                                      591                      
95%-covered genes                                      242                      

50%-assembled isoforms                                 503                      
95%-assembled isoforms                                 210                      
50%-covered isoforms                                   591                      
95%-covered isoforms                                   242                      

50%-assembled exons                                    509                      
95%-assembled exons                                    213                      

Mean isoform assembly                                  0.436                    

Mean isoform coverage                                  0.478                    
Mean exon coverage                                     0.481                    

Avg. percentage of isoform 50%-covered exons           0.397                    
Avg. percentage of isoform 95%-covered exons           0.164                    

