METRICS/TRANSCRIPTS                                    Shannon                  
 == ASSEMBLY COMPLETENESS (SENSITIVITY) == 
Database coverage                                      0.318                    
Duplication ratio                                      1.027                    
Avg. number of transcripts mapped to one isoform       1.713                    

50%-assembled genes                                    907                      
95%-assembled genes                                    393                      
50%-covered genes                                      1350                     
95%-covered genes                                      565                      

50%-assembled isoforms                                 907                      
95%-assembled isoforms                                 393                      
50%-covered isoforms                                   1350                     
95%-covered isoforms                                   565                      

50%-assembled exons                                    914                      
95%-assembled exons                                    396                      

Mean isoform assembly                                  0.509                    

Mean isoform coverage                                  0.636                    
Mean exon coverage                                     0.637                    

Avg. percentage of isoform 50%-covered exons           0.632                    
Avg. percentage of isoform 95%-covered exons           0.265                    

