METRICS/TRANSCRIPTS                                    Trans-ABySS              
 == ASSEMBLY COMPLETENESS (SENSITIVITY) == 
Database coverage                                      0.043                    
Duplication ratio                                      1.044                    
Avg. number of transcripts mapped to one isoform       1.353                    

50%-assembled genes                                    96                       
95%-assembled genes                                    32                       
50%-covered genes                                      126                      
95%-covered genes                                      38                       

50%-assembled isoforms                                 96                       
95%-assembled isoforms                                 32                       
50%-covered isoforms                                   126                      
95%-covered isoforms                                   38                       

50%-assembled exons                                    99                       
95%-assembled exons                                    32                       

Mean isoform assembly                                  0.191                    

Mean isoform coverage                                  0.216                    
Mean exon coverage                                     0.219                    

Avg. percentage of isoform 50%-covered exons           0.105                    
Avg. percentage of isoform 95%-covered exons           0.031                    

