METRICS/TRANSCRIPTS                                    Trinity                  
 == ASSEMBLY COMPLETENESS (SENSITIVITY) == 
Database coverage                                      0.334                    
Duplication ratio                                      1.012                    
Avg. number of transcripts mapped to one isoform       1.746                    

50%-assembled genes                                    950                      
95%-assembled genes                                    396                      
50%-covered genes                                      1435                     
95%-covered genes                                      596                      

50%-assembled isoforms                                 950                      
95%-assembled isoforms                                 396                      
50%-covered isoforms                                   1435                     
95%-covered isoforms                                   596                      

50%-assembled exons                                    959                      
95%-assembled exons                                    400                      

Mean isoform assembly                                  0.509                    

Mean isoform coverage                                  0.647                    
Mean exon coverage                                     0.649                    

Avg. percentage of isoform 50%-covered exons           0.654                    
Avg. percentage of isoform 95%-covered exons           0.272                    

