METRICS/TRANSCRIPTS                                    Trinity                  Trans-ABySS              Oases                    SOAPdenovo-Trans         IDBA-Tran                Bridger                  BinPacker                Shannon                  rnaSPAdes                SPAdes                   
 == ASSEMBLY COMPLETENESS (SENSITIVITY) == 
Database coverage                                      0.334                    0.043                    0.334                    0.225                    0.183                    0.319                    0.009                    0.318                    0.208                    0.16                     
Duplication ratio                                      1.012                    1.044                    1.443                    1.002                    1.001                    1.014                    1.267                    1.027                    1.009                    1.006                    
Avg. number of transcripts mapped to one isoform       1.746                    1.353                    2.454                    1.598                    1.32                     1.701                    1.277                    1.713                    1.564                    1.277                    

50%-assembled genes                                    950                      96                       916                      587                      550                      920                      47                       907                      469                      503                      
95%-assembled genes                                    396                      32                       414                      261                      250                      382                      34                       393                      187                      210                      
50%-covered genes                                      1435                     126                      1408                     824                      699                      1376                     47                       1350                     707                      591                      
95%-covered genes                                      596                      38                       595                      311                      294                      562                      36                       565                      237                      242                      

50%-assembled isoforms                                 950                      96                       916                      587                      550                      920                      47                       907                      469                      503                      
95%-assembled isoforms                                 396                      32                       414                      261                      250                      382                      34                       393                      187                      210                      
50%-covered isoforms                                   1435                     126                      1408                     824                      699                      1376                     47                       1350                     707                      591                      
95%-covered isoforms                                   596                      38                       595                      311                      294                      562                      36                       565                      237                      242                      

50%-assembled exons                                    959                      99                       930                      594                      556                      929                      47                       914                      477                      509                      
95%-assembled exons                                    400                      32                       420                      265                      254                      386                      34                       396                      192                      213                      

Mean isoform assembly                                  0.509                    0.191                    0.452                    0.373                    0.45                     0.507                    0.719                    0.509                    0.345                    0.436                    

Mean isoform coverage                                  0.647                    0.216                    0.581                    0.447                    0.507                    0.636                    0.728                    0.636                    0.42                     0.478                    
Mean exon coverage                                     0.649                    0.219                    0.583                    0.449                    0.509                    0.638                    0.728                    0.637                    0.423                    0.481                    

Avg. percentage of isoform 50%-covered exons           0.654                    0.105                    0.564                    0.368                    0.442                    0.64                     0.723                    0.632                    0.33                     0.397                    
Avg. percentage of isoform 95%-covered exons           0.272                    0.031                    0.239                    0.139                    0.187                    0.262                    0.554                    0.265                    0.111                    0.164                    

