METRICS/TRANSCRIPTS                                    Trinity                  Trans-ABySS              Oases                    SOAPdenovo-Trans         IDBA-Tran                Bridger                  BinPacker                Shannon                  rnaSPAdes                SPAdes                   
 == ASSEMBLY SPECIFICITY == 
Unannotated                                            303                      7494                     882                      3288                     1673                     273                      53                       255                      3511                     2075                     

50%-matched                                            3358                     1001                     5029                     2941                     1543                     3212                     32                       3205                     2687                     1292                     
95%-matched                                            1619                     724                      2492                     1814                     759                      1550                     2                        1535                     1756                     638                      

Mean fraction of transcript matched                    0.746                    0.113                    0.674                    0.411                    0.396                    0.749                    0.272                    0.751                    0.38                     0.322                    

Mean fraction of block matched                         0.806                    0.643                    0.731                    0.795                    0.716                    0.795                    0.384                    0.799                    0.786                    0.693                    

50%-matched blocks                                     0.881                    0.621                    0.782                    0.828                    0.742                    0.869                    0.37                     0.873                    0.808                    0.708                    
95%-matched blocks                                     0.439                    0.46                     0.415                    0.519                    0.372                    0.432                    0.13                     0.422                    0.536                    0.371                    

Matched length                                         1396466                  185060                   1991000                  932146                   756325                   1338116                  48781                    1350719                  866505                   665555                   
Unmatched length                                       553311                   2782497                  1260107                  1595296                  1299897                  535978                   109362                   552664                   1628649                  1588418                  

