METRICS/TRANSCRIPTS                                    rnaSPAdes                
 == ASSEMBLY COMPLETENESS (SENSITIVITY) == 
Database coverage                                      0.208                    
Duplication ratio                                      1.009                    
Avg. number of transcripts mapped to one isoform       1.564                    

50%-assembled genes                                    469                      
95%-assembled genes                                    187                      
50%-covered genes                                      707                      
95%-covered genes                                      237                      

50%-assembled isoforms                                 469                      
95%-assembled isoforms                                 187                      
50%-covered isoforms                                   707                      
95%-covered isoforms                                   237                      

50%-assembled exons                                    477                      
95%-assembled exons                                    192                      

Mean isoform assembly                                  0.345                    

Mean isoform coverage                                  0.42                     
Mean exon coverage                                     0.423                    

Avg. percentage of isoform 50%-covered exons           0.33                     
Avg. percentage of isoform 95%-covered exons           0.111                    

