METRICS/TRANSCRIPTS                                    Trinity                  Trans-ABySS              Oases                    SOAPdenovo-Trans         IDBA-Tran                Bridger                  BinPacker                Shannon                  rnaSPAdes                SPAdes                   
 == ASSEMBLY COMPLETENESS (SENSITIVITY) == 
Database coverage                                      0.216                    0.282                    0.083                    0.103                    0.09                     0.074                    0.055                    0.008                    0.118                    0.086                    
Duplication ratio                                      2.396                    1.743                    2.355                    1.187                    1.012                    1.708                    2.389                    1.53                     1.192                    1.015                    
Avg. number of transcripts mapped to one isoform       2.435                    3.549                    4.113                    1.775                    1.455                    1.579                    2.244                    1.914                    1.515                    1.45                     

50%-assembled genes                                    11313                    12672                    4206                     6435                     6471                     5308                     4121                     934                      8695                     6626                     
95%-assembled genes                                    5228                     5896                     791                      2110                     709                      1856                     2358                     242                      3046                     1747                     
50%-covered genes                                      12931                    15579                    5541                     7760                     7884                     5818                     4159                     1195                     9781                     7556                     
95%-covered genes                                      6497                     8459                     1470                     2494                     1086                     2028                     2442                     306                      3540                     2115                     

50%-assembled isoforms                                 20780                    27440                    7605                     8091                     7734                     6725                     6170                     964                      11077                    7725                     
95%-assembled isoforms                                 6788                     6824                     868                      2264                     709                      2105                     2824                     242                      3253                     1755                     
50%-covered isoforms                                   24709                    40372                    12584                    9907                     9846                     7390                     6254                     1252                     12681                    9207                     
95%-covered isoforms                                   8548                     10910                    1718                     2684                     1087                     2310                     2952                     307                      3780                     2124                     

50%-assembled exons                                    148529                   181764                   62074                    75853                    73200                    56402                    50898                    4754                     93214                    69623                    
95%-assembled exons                                    127109                   141278                   41544                    59554                    56446                    46981                    47400                    2486                     79248                    55091                    

Mean isoform assembly                                  0.45                     0.382                    0.268                    0.231                    0.311                    0.312                    0.689                    0.252                    0.339                    0.306                    

Mean isoform coverage                                  0.505                    0.479                    0.332                    0.265                    0.35                     0.331                    0.698                    0.284                    0.369                    0.337                    
Mean exon coverage                                     0.889                    0.832                    0.693                    0.681                    0.799                    0.78                     0.953                    0.587                    0.824                    0.782                    

Avg. percentage of isoform 50%-covered exons           0.492                    0.45                     0.303                    0.216                    0.3                      0.293                    0.735                    0.232                    0.328                    0.295                    
Avg. percentage of isoform 95%-covered exons           0.376                    0.305                    0.18                     0.131                    0.182                    0.201                    0.657                    0.116                    0.236                    0.187                    

 == GeneMarkS-T METRICS == 
Genes                                                  64574                    83312                    184371                   33207                    37937                    40025                    18636                    21295                    47886                    33968                    

