METRICS/TRANSCRIPTS                                    Trinity                  Trans-ABySS              Oases                    SOAPdenovo-Trans         IDBA-Tran                Bridger                  BinPacker                Shannon                  rnaSPAdes                SPAdes                   
 == ASSEMBLY SPECIFICITY == 
Unannotated                                            193800                   1272363                  674247                   905050                   203569                   186773                   860                      128462                   551412                   268461                   

50%-matched                                            95985                    232064                   133920                   63948                    35324                    26146                    17124                    4476                     38308                    33552                    
95%-matched                                            49795                    157467                   51746                    48307                    27491                    15406                    7291                     2263                     21942                    24135                    

Mean fraction of transcript matched                    0.284                    0.145                    0.144                    0.065                    0.142                    0.114                    0.769                    0.037                    0.063                    0.091                    

Mean fraction of block matched                         0.88                     0.836                    0.458                    0.715                    0.775                    0.64                     0.846                    0.171                    0.65                     0.7                      

50%-matched blocks                                     0.88                     0.829                    0.456                    0.704                    0.762                    0.638                    0.85                     0.165                    0.642                    0.689                    
95%-matched blocks                                     0.815                    0.753                    0.423                    0.643                    0.697                    0.575                    0.792                    0.111                    0.566                    0.62                     

Matched length                                         152502879                144521575                57768187                 36169048                 26904419                 37009197                 38982692                 3680731                  41411984                 25750931                 
Unmatched length                                       107403504                259867277                309215650                186722461                100724455                119121516                10423707                 99519366                 218476750                133487482                

