METRICS/TRANSCRIPTS                                    Trinity                  Trans-ABySS              Oases                    SOAPdenovo-Trans         IDBA-Tran                Bridger                  BinPacker                Shannon                  rnaSPAdes                SPAdes                   
 == ASSEMBLY COMPLETENESS (SENSITIVITY) == 
Database coverage                                      0.461                    0.535                    0.592                    0.406                    0.382                    0.346                    0.372                    0.189                    0.431                    0.367                    
Duplication ratio                                      2.154                    1.572                    4.854                    1.274                    1.013                    1.507                    1.949                    1.437                    1.535                    1.012                    
Avg. number of transcripts mapped to one isoform       2.175                    2.387                    4.527                    1.952                    1.504                    1.643                    1.936                    2.074                    1.698                    1.405                    

50%-assembled genes                                    2478                     2680                     2623                     2365                     2494                     2247                     2300                     1441                     2606                     2537                     
95%-assembled genes                                    1915                     2074                     1865                     1380                     570                      1353                     1402                     854                      1760                     1566                     
50%-covered genes                                      2644                     2903                     2812                     2719                     2733                     2427                     2480                     1621                     2686                     2624                     
95%-covered genes                                      2096                     2485                     2052                     1755                     1158                     1527                     1579                     954                      2025                     1772                     

50%-assembled isoforms                                 4654                     5992                     6106                     3630                     3896                     3362                     3701                     1920                     4557                     3668                     
95%-assembled isoforms                                 2898                     2877                     2995                     1679                     577                      1570                     1660                     1056                     2220                     1625                     
50%-covered isoforms                                   5003                     6966                     6780                     4399                     4760                     3725                     4086                     2183                     4848                     4054                     
95%-covered isoforms                                   3254                     3785                     3525                     2145                     1203                     1786                     1907                     1181                     2596                     1865                     

50%-assembled exons                                    25771                    31540                    29821                    24266                    24449                    21962                    23036                    10637                    25828                    24554                    
95%-assembled exons                                    24145                    27974                    26567                    21384                    20346                    19881                    20812                    9225                     23901                    21627                    

Mean isoform assembly                                  0.759                    0.602                    0.682                    0.531                    0.512                    0.61                     0.614                    0.599                    0.678                    0.538                    

Mean isoform coverage                                  0.806                    0.674                    0.737                    0.606                    0.591                    0.655                    0.659                    0.658                    0.717                    0.576                    
Mean exon coverage                                     0.965                    0.938                    0.945                    0.914                    0.923                    0.933                    0.935                    0.904                    0.953                    0.918                    

Avg. percentage of isoform 50%-covered exons           0.798                    0.666                    0.733                    0.57                     0.523                    0.614                    0.624                    0.633                    0.688                    0.531                    
Avg. percentage of isoform 95%-covered exons           0.721                    0.551                    0.618                    0.449                    0.381                    0.497                    0.51                     0.503                    0.608                    0.41                     

 == GeneMarkS-T METRICS == 
Genes                                                  6829                     8600                     21274                    3567                     4599                     4400                     6344                     2598                     6088                     2863                     

