METRICS/TRANSCRIPTS                                    Trinity                  Trans-ABySS              Oases                    SOAPdenovo-Trans         IDBA-Tran                Bridger                  BinPacker                Shannon                  rnaSPAdes                SPAdes                   
 == ASSEMBLY COMPLETENESS (SENSITIVITY) == 
Database coverage                                      0.208                    0.244                    0.024                    0.1                      0.096                    0.084                    0.011                    0.004                    0.111                    0.088                    
Duplication ratio                                      1.547                    1.75                     1.9                      1.031                    1.005                    1.348                    1.346                    1.23                     1.135                    1.003                    
Avg. number of transcripts mapped to one isoform       1.983                    2.847                    2.899                    1.597                    1.412                    1.492                    1.409                    1.506                    1.4                      1.228                    

50%-assembled genes                                    9280                     9765                     841                      4762                     4594                     4157                     811                      203                      5787                     4751                     
95%-assembled genes                                    5323                     5721                     183                      2204                     967                      2100                     519                      71                       3185                     2629                     
50%-covered genes                                      10171                    10804                    1206                     5293                     5313                     4421                     812                      259                      6064                     4919                     
95%-covered genes                                      6275                     7145                     355                      2505                     1435                     2253                     526                      85                       3447                     2781                     

50%-assembled isoforms                                 11611                    14134                    1064                     5063                     4846                     4637                     881                      206                      6289                     4955                     
95%-assembled isoforms                                 6032                     6281                     183                      2244                     967                      2236                     554                      71                       3269                     2633                     
50%-covered isoforms                                   12896                    16495                    1755                     5678                     5665                     4942                     883                      264                      6622                     5155                     
95%-covered isoforms                                   7081                     8075                     360                      2548                     1436                     2397                     561                      85                       3544                     2785                     

50%-assembled exons                                    116803                   125715                   13464                    59348                    59502                    50722                    7262                     1085                     66016                    52980                    
95%-assembled exons                                    106112                   111197                   8620                     51959                    52079                    45728                    6858                     595                      60481                    48119                    

Mean isoform assembly                                  0.595                    0.539                    0.202                    0.343                    0.391                    0.444                    0.805                    0.195                    0.486                    0.487                    

Mean isoform coverage                                  0.649                    0.607                    0.246                    0.376                    0.434                    0.467                    0.808                    0.217                    0.509                    0.504                    
Mean exon coverage                                     0.938                    0.92                     0.643                    0.835                    0.882                    0.885                    0.963                    0.474                    0.91                     0.906                    

Avg. percentage of isoform 50%-covered exons           0.639                    0.597                    0.227                    0.339                    0.4                      0.444                    0.842                    0.151                    0.482                    0.478                    
Avg. percentage of isoform 95%-covered exons           0.544                    0.485                    0.132                    0.258                    0.308                    0.361                    0.773                    0.086                    0.407                    0.388                    

 == GeneMarkS-T METRICS == 
Genes                                                  22949                    35418                    39050                    9941                     12246                    13562                    1924                     8919                     13269                    9048                     

