assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,bases_n,proportion_n,fragments,fragments_mapped,p_fragments_mapped,good_mappings,p_good_mapping,bad_mappings,potential_bridges,bases_uncovered,p_bases_uncovered,contigs_uncovbase,p_contigs_uncovbase,contigs_uncovered,p_contigs_uncovered,contigs_lowcovered,p_contigs_lowcovered,contigs_segmented,p_contigs_segmented,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,weighted
/mnt/dessertlocal/projects/transcriptome_assembly/review/assemblies/cal3/final/trinity.fasta,8970,201,9485,9391261,1046.96332,0,3415,0,5144,81.69261,453,1050,1635,2330,3802,0.3492,0,0.0,11168529,9354646,0.83759,8693416,0.77839,661230,0,1222238,0.13015,3405,0.3796,8970,1.0,8970,1.0,635,0.07079,7100,7100,0.79153,0.57161,5376,0.43282,2485,0.20006,2080,0.16746,1813,0.14596,1711,0.13775,1609,0.12954,0.18357,0.36563,0.45572,0.36771,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/cal3/final/oases.fasta,24818,100,11143,26010636,1033.27089,2477,9802,6,14879,79.537,564,1097,1629,2321,3766,0.34917,0,0.0,11168529,1352386,0.12109,1235497,0.11062,116889,0,22575199,0.86792,22178,0.89363,24818,1.0,24818,1.0,736,0.02966,19566,19566,0.78838,1.57524,6257,0.50374,3206,0.25811,2684,0.21609,2316,0.18646,2172,0.17487,2011,0.1619,0.23593,0.00266,0.05827,0.55043,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/review/assemblies/cal3/final/trans-abyss.fasta,26356,100,11036,22581342,825.78331,5723,7970,4,12179,81.46816,485,1069,1659,2423,4216,0.34771,0,0.0,11168529,1029138,0.09215,968259,0.0867,60879,0,18560427,0.82194,24531,0.93076,26356,1.0,26356,1.0,829,0.03145,18792,18792,0.71301,1.51292,6722,0.54118,5021,0.40423,4333,0.34884,3742,0.30126,3523,0.28363,3224,0.25956,0.3824,0.00327,0.03363,0.295,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/cal3/final/soap-trans-default.fasta,14927,100,10036,8947594,551.90025,5150,2767,1,5115,84.14638,381,840,1349,2074,4992,0.34729,1282,0.00014,11168529,10428522,0.93374,9310169,0.83361,1118353,0,169722,0.01897,7684,0.51477,14927,1.0,14927,1.0,887,0.05942,10340,10340,0.6927,0.83246,6245,0.50278,2936,0.23637,2162,0.17406,1650,0.13284,1499,0.12068,1314,0.10579,0.19889,0.22604,0.48033,0.36251,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/review/assemblies/cal3/final/rna-spades.fasta,8297,65,10176,10567988,1258.18621,790,3936,4,5034,75.46275,701,1412,2079,2888,4761,0.3448,11627,0.0011,11168529,8826917,0.79034,8193396,0.73361,633521,0,1697403,0.16062,3644,0.43919,8297,1.0,8297,1.0,870,0.10486,6728,6728,0.8109,0.54166,5182,0.4172,2422,0.19499,2167,0.17446,1962,0.15796,1884,0.15168,1776,0.14298,0.19819,0.29197,0.40623,0.27606,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/review/assemblies/cal3/final/spades.fasta,6821,34,10912,9173845,1335.47779,561,3503,1,4437,77.02173,767,1469,2108,2935,4691,0.34601,4525,0.00049,11168529,10758710,0.96331,9927143,0.88885,831567,0,27010,0.00294,1711,0.25084,6821,1.0,6821,1.0,639,0.09368,5554,5554,0.81425,0.44715,4893,0.39393,2153,0.17334,1947,0.15675,1776,0.14298,1723,0.13872,1620,0.13042,0.17457,0.45143,0.54236,0.03355,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/cal3/final/idba-tran.fasta,9408,200,10969,8652155,919.65933,0,2947,2,5324,83.37413,416,840,1315,2001,3263,0.34648,0,0.0,11168529,9563445,0.85629,8075900,0.72309,1487545,0,24984,0.00289,3141,0.33386,9408,1.0,9408,1.0,939,0.09981,7316,7316,0.77764,0.589,5669,0.4564,2865,0.23066,2180,0.17551,1629,0.13115,1415,0.11392,1219,0.09814,0.1961,0.40589,0.41421,0.05753,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/cal3/final/bridger.fasta,8413,201,10055,10651444,1266.06965,0,4036,1,5672,79.39954,613,1250,1824,2606,4284,0.3475,0,0.0,11168529,8068063,0.72239,7473892,0.66919,594171,0,3326590,0.31231,3868,0.45976,8413,1.0,8413,1.0,770,0.09153,7039,7039,0.83668,0.5667,5285,0.42549,2285,0.18396,1902,0.15313,1656,0.13332,1569,0.12632,1442,0.11609,0.17196,0.21125,0.36308,0.31091,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/cal3/final/binpacker.fasta,8324,201,10055,11072685,1330.21204,0,4263,1,5903,78.64989,658,1280,1846,2629,4367,0.3477,0,0.0,11168529,7967472,0.71339,7382929,0.66105,584543,0,3991753,0.3605,4076,0.48967,8324,1.0,8324,1.0,737,0.08854,7130,7130,0.85656,0.57403,5193,0.41808,2273,0.183,1903,0.15321,1658,0.13348,1573,0.12664,1446,0.11642,0.17137,0.16839,0.36772,0.31091,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/cal3/final/shannon.fasta,17225,200,8054,12793669,742.7384,0,4077,0,8112,87.68973,318,669,1093,1628,2556,0.35453,0,0.0,11168529,1911906,0.17119,1732137,0.15509,179769,0,6199186,0.48455,12363,0.71774,17225,1.0,17225,1.0,4851,0.28163,13440,13440,0.78026,1.08204,6399,0.51518,4500,0.36229,3714,0.29901,3107,0.25014,2855,0.22985,2417,0.19459,0.30264,0.02696,0.05188,0.23318,0.0
