assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,bases_n,proportion_n,fragments,fragments_mapped,p_fragments_mapped,good_mappings,p_good_mapping,bad_mappings,potential_bridges,bases_uncovered,p_bases_uncovered,contigs_uncovbase,p_contigs_uncovbase,contigs_uncovered,p_contigs_uncovered,contigs_lowcovered,p_contigs_lowcovered,contigs_segmented,p_contigs_segmented,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,weighted
/mnt/dessertlocal/projects/transcriptome_assembly/review/assemblies/hsa_flux/final/trinity.fasta,13484,201,23646,30990431,2298.31141,0,8448,191,7429,43.37841,1173,2533,3850,5525,9467,0.49723,0,0.0,56962181,16479045,0.2893,14730533,0.2586,1748512,0,15568389,0.50236,10914,0.8094,13484,1.0,13484,1.0,3069,0.2276,12452,12452,0.92346,0.85026,6369,0.43489,3083,0.21052,2670,0.18231,2220,0.15159,2000,0.13657,1724,0.11772,0.24396,0.02168,0.11168,0.51954,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/hsa_flux/final/oases.fasta,46469,100,70154,110723383,2370.18606,3884,28135,881,24053,37.42736,1344,2817,4266,6240,10998,0.49136,0,0.0,56962181,6187748,0.10863,2841838,0.04989,3345910,0,91879830,0.82981,45467,0.97844,46469,1.0,46469,1.0,2960,0.0637,41412,41412,0.89117,2.82772,9149,0.62472,4934,0.33691,4143,0.2829,3327,0.22718,2927,0.19986,2303,0.15726,0.37548,0.0008,0.0107,0.26171,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/review/assemblies/hsa_flux/final/trans-abyss.fasta,25272,100,25059,24282473,921.11756,7850,6696,77,6582,45.49152,555,1380,2524,4253,8618,0.49143,0,0.0,56962181,28946315,0.50817,27643086,0.48529,1303229,0,7689817,0.31668,21711,0.85909,25272,1.0,25272,1.0,4684,0.18534,18133,18133,0.71751,1.23817,9785,0.66815,7132,0.48699,5604,0.38266,4246,0.28993,3709,0.25326,3076,0.21004,0.45944,0.03812,0.22431,0.51595,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/hsa_flux/final/soap-trans-default.fasta,14965,100,24125,15259485,971.86916,5703,4260,46,3331,36.27748,701,1853,3036,4577,9010,0.48533,70524,0.00462,56962181,32653692,0.57325,26752721,0.46966,5900971,0,2557199,0.16758,10621,0.70972,14965,1.0,14965,1.0,3738,0.24978,10623,10623,0.70986,0.72537,6465,0.44145,2713,0.18525,1889,0.12899,1292,0.08822,1056,0.07211,826,0.0564,0.18247,0.03236,0.20541,0.38075,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/review/assemblies/hsa_flux/final/rna-spades.fasta,11766,131,21175,20302635,1720.13777,391,6051,99,5321,40.38284,778,1801,2858,4517,7820,0.4863,101303,0.00499,56962181,25524290,0.44809,23129122,0.40604,2395168,0,5028340,0.24767,8793,0.74732,11766,1.0,11766,1.0,3812,0.32398,11068,11068,0.94068,0.75575,6882,0.46992,3490,0.23831,2734,0.18668,1963,0.13404,1683,0.11492,1340,0.0915,0.2459,0.07185,0.19116,0.42602,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/review/assemblies/hsa_flux/final/spades.fasta,10537,56,21229,10674626,979.83876,3126,2622,57,2284,39.61807,517,1673,3102,5188,10173,0.48622,14402,0.00135,56962181,48473698,0.85098,45523641,0.79919,2950057,0,130186,0.0122,4882,0.46332,10537,1.0,10537,1.0,2571,0.244,6301,6301,0.59799,0.43025,5432,0.37091,2318,0.15828,1783,0.12175,1195,0.0816,969,0.06617,749,0.05114,0.16027,0.12832,0.46692,0.58142,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/hsa_flux/final/idba-tran.fasta,12151,200,17933,10489247,863.24146,0,2737,17,2666,47.6202,337,727,1444,2683,5532,0.48535,0,0.0,56962181,42241369,0.74157,33890176,0.59496,8351193,0,135493,0.01292,4611,0.37947,12151,1.0,12151,1.0,2951,0.24286,8585,8585,0.70653,0.58621,6439,0.43967,3083,0.21052,2029,0.13855,1018,0.06951,706,0.04821,373,0.02547,0.17764,0.14764,0.34794,0.55157,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/hsa_flux/final/bridger.fasta,10457,201,25108,18025876,1723.80951,0,5166,82,4231,42.21987,757,2012,3136,4580,7694,0.49086,0,0.0,56962181,21245536,0.37298,18702579,0.32833,2542957,0,3988140,0.22125,7415,0.70909,10457,1.0,10457,1.0,2642,0.25265,9190,9190,0.87884,0.62752,5924,0.40451,2663,0.18184,1991,0.13595,1367,0.09334,1168,0.07975,957,0.06535,0.1877,0.06429,0.14218,0.43188,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/hsa_flux/final/binpacker.fasta,13415,200,24808,25851910,1927.08982,0,7424,147,6392,43.57058,913,2160,3364,4804,8371,0.49517,0,0.0,56962181,18422650,0.32342,15928466,0.27963,2494184,0,11164862,0.43188,10440,0.77823,13415,1.0,13415,1.0,2677,0.19955,12044,12044,0.8978,0.8224,6326,0.43196,2875,0.19631,2183,0.14906,1528,0.10434,1308,0.08931,1082,0.07388,0.20281,0.02724,0.12943,0.43188,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/hsa_flux/final/shannon.fasta,7255,200,18026,7801435,1075.3184,0,2340,9,2101,47.36729,388,1155,2137,3286,5552,0.48685,0,0.0,56962181,10273679,0.18036,8068363,0.14164,2205316,0,1361260,0.17449,4065,0.5603,7255,1.0,7255,1.0,1999,0.27553,6601,6601,0.90986,0.45073,3488,0.23817,2062,0.1408,1585,0.10823,1229,0.08392,1097,0.07491,912,0.06227,0.13061,0.01479,0.05617,0.43242,0.0
