assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,bases_n,proportion_n,fragments,fragments_mapped,p_fragments_mapped,good_mappings,p_good_mapping,bad_mappings,potential_bridges,bases_uncovered,p_bases_uncovered,contigs_uncovbase,p_contigs_uncovbase,contigs_uncovered,p_contigs_uncovered,contigs_lowcovered,p_contigs_lowcovered,contigs_segmented,p_contigs_segmented,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,weighted
/mnt/dessertlocal/projects/transcriptome_assembly/review/assemblies/ebov_hsa_23h/final/trinity.fasta,97849,178,20401,115578380,1181.17592,8,27771,445,27267,53.73373,367,1520,3035,4759,8025,0.48187,0,0.0,23930250,6698386,0.27991,6380448,0.26663,317938,0,70120282,0.60669,54523,0.55722,97849,1.0,97849,1.0,4466,0.04564,56436,56436,0.57677,0.3168,28688,0.16104,8947,0.05022,5796,0.03254,3706,0.0208,2916,0.01637,1902,0.01068,0.07324,0.07829,0.14025,0.16164,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/ebov_hsa_23h/final/oases.fasta,178498,100,23109,301780980,1672.57489,21653,83481,1144,73470,47.1938,860,2177,3512,5185,8314,0.48216,0,0.0,23930250,2886955,0.12064,2732996,0.11421,153959,0,283104704,0.93811,162721,0.91161,178498,1.0,178498,1.0,2495,0.01398,128628,128628,0.72061,0.72205,29545,0.16585,13316,0.07475,9583,0.05379,6463,0.03628,5131,0.0288,3295,0.0185,0.10789,0.00241,0.03191,0.01581,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/review/assemblies/ebov_hsa_23h/final/trans-abyss.fasta,213005,100,21517,131712188,558.14264,97723,32834,247,34492,53.73122,403,1134,2312,4194,15104,0.4759,0,0.0,23930250,3370092,0.14083,3079184,0.12867,290908,0,81000058,0.61498,145013,0.6808,213005,1.0,213005,1.0,8444,0.03964,103774,103774,0.48719,0.58253,41739,0.2343,16755,0.09405,10140,0.05692,5833,0.03274,4359,0.02447,2680,0.01504,0.11747,0.00831,0.05168,0.1589,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/ebov_hsa_23h/final/soap-trans-default.fasta,131711,100,18919,64547511,421.63548,67988,13407,94,12594,51.41692,325,981,2483,4676,18919,0.46715,68238,0.00106,23930250,20608713,0.8612,19437442,0.81225,1171271,0,8164500,0.12649,69875,0.53052,131711,1.0,131711,1.0,6972,0.05293,53370,53370,0.40521,0.29959,30625,0.17191,8806,0.04943,5013,0.02814,3096,0.01738,2419,0.01358,1504,0.00844,0.06869,0.09522,0.39598,0.09155,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/review/assemblies/ebov_hsa_23h/final/rna-spades.fasta,206133,49,27327,102095122,415.83765,92492,18612,176,16505,47.53883,272,849,2635,5246,27327,0.46264,13568,0.00013,23930250,8956139,0.37426,8482589,0.35447,473550,0,19628166,0.19225,50926,0.24705,206133,1.0,206133,1.0,5806,0.02817,58726,58726,0.28489,0.32966,33469,0.18788,10632,0.05968,6165,0.03461,3749,0.02104,2866,0.01609,1851,0.01039,0.08193,0.05117,0.21737,0.01115,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/review/assemblies/ebov_hsa_23h/final/spades.fasta,93814,55,20713,63872058,670.87929,10280,13234,158,11884,49.53084,258,613,1800,3716,7285,0.46659,18247,0.00029,23930250,15568880,0.65059,14595365,0.60991,973515,0,1198914,0.01877,33583,0.35797,93814,1.0,93814,1.0,3298,0.03515,38670,38670,0.4122,0.21707,24865,0.13958,8016,0.045,5084,0.02854,3320,0.01864,2670,0.01499,1651,0.00927,0.06837,0.25146,0.38949,0.02772,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/ebov_hsa_23h/final/idba-tran.fasta,78116,200,15346,57271805,733.16356,0,14183,22,14903,52.33453,307,563,1103,2100,4153,0.46948,0,0.0,23930250,13153379,0.54965,10051744,0.42004,3101635,0,627792,0.01096,31965,0.4092,78116,1.0,78116,1.0,5510,0.07054,49310,49310,0.63124,0.2768,29193,0.16387,10410,0.05844,5184,0.0291,2102,0.0118,1263,0.00709,561,0.00315,0.06954,0.2276,0.24431,0.25221,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/ebov_hsa_23h/final/bridger.fasta,83744,201,22383,87621316,1046.29963,0,20547,383,19042,48.88316,331,1200,2733,4494,7868,0.4762,0,0.0,23930250,10267677,0.42907,9749289,0.4074,518388,0,42233927,0.48201,48025,0.57347,83744,1.0,83744,1.0,3850,0.04597,44070,44070,0.52625,0.24739,25701,0.14427,8766,0.04921,5351,0.03004,3231,0.01814,2501,0.01404,1614,0.00906,0.06884,0.15148,0.19635,0.05332,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/ebov_hsa_23h/final/binpacker.fasta,12291,200,21781,43913385,3572.80815,0,10860,367,10314,46.96748,1954,3425,4709,6513,10116,0.48513,0,0.0,23930250,8224019,0.34367,7858560,0.32839,365459,0,35852196,0.81643,11199,0.91115,12291,1.0,12291,1.0,1214,0.09877,12000,12000,0.97632,0.06736,6197,0.03479,2602,0.01461,2080,0.01168,1491,0.00837,1235,0.00693,873,0.0049,0.02631,0.01792,0.0675,0.05312,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/ebov_hsa_23h/final/shannon.fasta,84456,200,16736,60817797,720.11221,0,14993,38,18020,61.57702,263,572,1419,2635,4865,0.47801,0,0.0,23930250,3265475,0.13646,2753695,0.11507,511780,0,28281717,0.46502,53173,0.62959,84456,1.0,84456,1.0,9124,0.10803,52684,52684,0.6238,0.29574,22741,0.12766,10418,0.05848,6143,0.03448,3462,0.01943,2485,0.01395,1275,0.00716,0.07719,0.02652,0.04847,0.35982,0.0
