assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,bases_n,proportion_n,fragments,fragments_mapped,p_fragments_mapped,good_mappings,p_good_mapping,bad_mappings,potential_bridges,bases_uncovered,p_bases_uncovered,contigs_uncovbase,p_contigs_uncovbase,contigs_uncovered,p_contigs_uncovered,contigs_lowcovered,p_contigs_lowcovered,contigs_segmented,p_contigs_segmented,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,weighted
/mnt/dessertlocal/projects/transcriptome_assembly/review/assemblies/hsa/final/trinity.fasta,365427,184,24438,286479420,783.95018,15,64020,630,60743,50.81538,275,613,1840,3423,6328,0.49558,0,0.0,96093116,29490892,0.3069,27629395,0.28753,1861497,0,169122292,0.59035,188789,0.51663,365427,1.0,365427,1.0,69099,0.18909,126931,126931,0.34735,0.71255,50331,0.28254,33655,0.18893,24342,0.13665,16553,0.09292,13445,0.07548,9283,0.05211,0.22744,0.05833,0.1318,0.41903,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/hsa/final/oases.fasta,1316143,100,25843,843235288,607.44172,292691,207203,656,166287,42.08886,335,671,1230,2362,5980,0.4992,0,0.0,96093116,7057921,0.07345,5960249,0.06203,1097672,0,792648161,0.94001,1249221,0.94915,1316143,1.0,1316143,1.0,40017,0.0304,559858,559858,0.42538,3.14287,80247,0.45048,20391,0.11447,11732,0.06586,5813,0.03263,3913,0.02197,1990,0.01117,0.0881,0.00086,0.01793,0.14592,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/review/assemblies/hsa/final/trans-abyss.fasta,1762439,100,23693,437845625,166.09343,1260396,59698,153,57877,51.92248,284,657,1943,23693,23693,0.48114,0,0.0,96093116,20998514,0.21852,20289902,0.21115,708612,0,277144158,0.63297,1494412,0.84792,1762439,1.0,1762439,1.0,91837,0.05211,288800,288800,0.16386,1.62123,83098,0.46649,51352,0.28827,33169,0.1862,19245,0.10804,14695,0.08249,9778,0.05489,0.26219,0.00592,0.10588,0.10494,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/hsa/final/soap-trans-default.fasta,1087869,100,23820,241236376,133.58194,837283,27502,133,26571,48.01834,287,773,3391,23820,23820,0.46977,395745,0.00164,96093116,63665576,0.66254,56721404,0.59028,6944172,0,78823472,0.32675,749802,0.68924,1087869,1.0,1087869,1.0,88696,0.08153,119058,119058,0.10944,0.66835,55532,0.31174,15255,0.08564,7593,0.04262,4065,0.02282,3036,0.01704,2043,0.01147,0.09183,0.01664,0.26752,0.03215,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/review/assemblies/hsa/final/rna-spades.fasta,668019,52,29250,294083262,382.28565,212315,49805,165,39056,46.25425,243,439,1117,2963,29250,0.47111,922694,0.00314,96093116,39125385,0.40716,37309742,0.38827,1815643,0,63077887,0.21449,208774,0.31253,668019,1.0,668019,1.0,87943,0.13165,97589,97589,0.14609,0.54783,51082,0.28676,18108,0.10165,10450,0.05866,5711,0.03206,4314,0.02422,2932,0.01646,0.11119,0.13771,0.23201,0.01482,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/review/assemblies/hsa/final/spades.fasta,353728,56,42266,177477612,491.71804,37174,30999,137,25430,46.12757,251,385,700,1618,4604,0.47786,41951,0.00024,96093116,76534778,0.79646,70453007,0.73317,6081771,0,5535605,0.03119,132600,0.37486,353728,1.0,353728,1.0,60600,0.17132,88378,88378,0.24985,0.49613,49137,0.27584,14409,0.08089,7278,0.04086,3349,0.0188,2339,0.01313,1443,0.0081,0.08042,0.25164,0.39665,0.17687,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/hsa/final/idba-tran.fasta,281371,200,15954,138699791,492.94274,0,23480,20,24193,52.45984,241,353,566,1054,2602,0.4848,0,0.0,96093116,61031354,0.63513,46713951,0.48613,14317403,0,3129664,0.02256,111398,0.39591,281371,1.0,281371,1.0,50897,0.18089,88660,88660,0.3151,0.49771,47869,0.26872,16136,0.09058,7451,0.04183,2622,0.01472,1476,0.00829,649,0.00364,0.08326,0.19574,0.25039,0.39326,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/hsa/final/bridger.fasta,277892,201,26339,206635529,743.58214,0,43164,413,38683,45.10419,280,552,1386,3163,6435,0.48917,0,0.0,96093116,33158968,0.34507,31026439,0.32288,2132529,0,86937480,0.42073,136026,0.48949,277892,1.0,277892,1.0,54470,0.19601,72799,72799,0.26197,0.40867,40098,0.2251,13064,0.07334,7769,0.04361,4508,0.02531,3504,0.01967,2424,0.01361,0.085,0.1009,0.14093,0.14934,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/hsa/final/binpacker.fasta,27957,200,24003,72918290,2608.23014,0,22604,202,20082,42.56574,1406,2481,3511,4770,7469,0.51491,0,0.0,96093116,26204786,0.2727,25028134,0.26046,1176652,0,61071898,0.83754,26318,0.94137,27957,1.0,27957,1.0,4324,0.15467,26506,26506,0.9481,0.1488,11170,0.0627,9875,0.05544,8113,0.04554,5966,0.03349,5045,0.02832,3881,0.02179,0.07303,0.00946,0.06956,0.36908,0.0
/mnt/dessertlocal/projects/transcriptome_assembly/assemblies/hsa/final/shannon.fasta,162486,200,18602,117068086,720.48106,0,31290,54,31225,55.69782,255,612,1446,2495,4397,0.50031,0,0.0,96093116,24945759,0.2596,20914074,0.21764,4031685,0,58885232,0.503,64880,0.3993,162486,1.0,162486,1.0,39922,0.2457,77424,77424,0.4765,0.43463,34346,0.19281,950,0.00533,284,0.00159,101,0.00057,67,0.00038,43,0.00024,0.00373,0.03201,0.06634,0.31735,0.0
